lang,text,nco_2015
hi,"दर्जी, तम्बू (मशीन)",7533.1100
hi,"आहार विशेषज्ञ, जनरल",2265.0200
en,Optical Worker,7315.1100
ta,"கால்நடை மருத்துவர், பொது",2250.0200
en,Mattress Maker (Spring),7534.0500
hi,"वुड सॉयर, एजर",8172.0200
ta,"சுற்றுச்சூழல் அறிவியல் மற்றும் பாதுகாப்பு தொழில்நுட்ப வல்லுநர்கள், பிற",3257.9900
en,Pipe Fitter,7126.0301
en,"Loader, Transport Associate/Loader/Unloader",9333.0202
en,Sprinkler and Other Vehicle Driver,8111.2601
hi,प्रसारक प्रचालक,8342.1600
ta,"மேற்பார்வையாளர் மற்றும் ஃபோர்மேன், மர வேலை (இயந்திரம்)",3122.2400
en,Plain Tabler,3112.0300
hi,"पर्यवेक्षक और फोरमैन, नलसाजी और पाइप फिटिंग",3123.0300
hi,"कैलिब्रेटर, विद्युत",8212.0600
hi,सैडलर,7536.1900
ta,"ஊட்டச்சத்து நிபுணர், பொது",2265.0100
hi,टेलीफोन निरीक्षक,3522.0300
ta,"ஒப்பந்த அதிகாரி, தொலைபேசி/தொடர்பு அதிகாரி/பி. ஆர். ஓ/வணிக நிர்வாகி",1330.0200
ta,பகுதி சேவை மேலாளர்,1213.0201
en,Field Technician: Other Home Appliances,7421.0701
hi,कार्यक्रम उद्घोषक,2656.0100
ta,விமான சரக்கு கையாளுதல் மேற்பார்வையாளர்,5111.0500
ta,ரப்பர் அச்சு தயாரிப்பாளர்,7313.2401
ta,"கை, கை",9321.0400
hi,गुणवत्ता नियंत्रण निरीक्षक-निष्कर्षण,7543.3003
hi,स्थापना यंत्रज्ञ,7422.0100
hi,"कटर, हाथ",7536.0500
hi,कृत्रिम प्रजनन तकनीशियन,6130.0100
en,"Inquiry Clerks, Other",4225.9900
hi,पेपर हैंगर/वॉलपेपर फिक्सर/डेकोरेटर,7131.0500
ta,ஒளி கலைஞர்,2654.0901
ta,"வேதியியலாளர், கரிமவியல்",2113.0200
ta,கீழ் மனிதன் (ஹார்மோனியம்),7312.0500
ta,ஸ்டென்சிலர்,9321.0300
ta,தண்டு மூழ்கும் ஆபரேட்டர்,8141.0200
ta,மண் விஞ்ஞானி,2132.0300
hi,"प्रबंधक, क्वारी",1322.0200
en,"Farmer, Livestock",6121.10
ta,"தொலைத்தொடர்பு, தொழில்நுட்ப வல்லுநர்",3522.0100
en,Scaperman,8113.0600
hi,"प्रौद्योगिकीविद्, रबर",2145.1300
hi,"दर्जी, फर",7531.1200
ta,"கட்டர், கை",7536.0500
en,"Packer, Rock",8111.1800
en,"Civil Engineer, Railways",2142.0700
en,Grinder (Stone and Clay),7315.2300
ta,"லைன் மேற்பார்வையாளர், மின்",3122.6000
ta,ஜிக்கர்மேன் (பருத்தி ஜவுளி)/ஜிக்கர் இயந்திர ஆபரேட்டர்,8154.1000
ta,பிரித்தெடுக்கும் இயந்திர ஆபரேட்டர் (ரப்பர்),8141.0300
en,Tyre Moulding Operator,8141.1801
ta,"மின் மேற்பார்வையாளர், வயரிங்,",3123.0400
ta,தோல் வெட்டும் இயந்திரம்,8156.0800
hi,"पिथ वर्कर, लकड़ी",7522.1500
hi,अमोनिया कंप्रेसर अटेंडेंट,3132.0800
ta,"எட்ஜ் செட்டர், இயந்திரம்",8156.2200
ta,கிட்டிங் மற்றும் லேபிளிங் நிர்வாகி,4321.0604
hi,हॉर्न कॉम्ब मेकर (हाथ),7536.2700
ta,அச்சிடும் இயந்திர இயக்குபவர் (பிளாஸ்டிக்),8142.1100
hi,"ट्रैफिक हैंड, ग्लाइडिंग",9331.0400
hi,"प्रबंधक, आयात और निर्यात",1219.0100
hi,"बॉयलर, टिंडल",8182.0100
ta,மர லாக்கரெர்,7522.1900
ta,"மர இயந்திரவியலாளர், ஜெனரல்",7523.0100
hi,मछली पकड़ने वाला,6224.0900
ta,அறிவுசார் சொத்துரிமை நிர்வாகி,2611.1001
hi,"प्रबंधक, वेल ड्रिलिंग",1322.0300
ta,வாகன சேவை தொழில்நுட்ப வல்லுநர்-உதவியாளர்,7231.0108
hi,"मैकेनिक, मरम्मत अध्यक्ष (घरेलू उपकरण)",7233.2000
ta,ஃபெட்லர் (செங்கல் மற்றும் ஓடு),8114.0700
hi,उत्तेजक कार प्रचालक फेरो मिश्र धातु,8342.2201
en,Yeast Maker (Beverage),7512.1000
hi,"नर्सरी कर्मचारी और माली, अन्य",6113.9900
ta,தொலைத்தொடர்பு முனைய உபகரணங்கள் பயன்பாட்டு மேம்பாட்டாளர் (ஆண்ட்ராய்டு),2153.0101
ta,"மெஸ்டிகேட்டர், ரப்பர்",8131.6000
hi,"चिकित्सा और स्वास्थ्य तकनीशियन, अन्य",2269.0700
hi,सहायक मेसन,7112.0601
ta,குடை பரிசோதகர்,7533.0900
ta,உதவி எலக்ட்ரீஷியன்,9313.0501
ta,நிகர தயாரிப்பாளர்,6224.1400
hi,"एकमात्र सिलाई, हाथ",7536.1500
en,Battery Repairer,8212.0300
hi,"प्रबंधक, परिवहन",1324.0200
en,LED Luminaries Testing and Measurement,3113.1001
ta,கணக்கு எழுத்தர்/கணக்கு நிர்வாகி (ஊதியப் பட்டியல்),4313.0101
ta,கூப்பர்,7522.1100
en,Chillies Cultivator,6111.1801
ta,குழந்தை மற்றும் குடும்ப சமூக சேவகர்,2635.0500
en,Dragline Operator,8342.0800
hi,"जूतों की सफाई और अन्य सड़क सेवाएँ प्राथमिक व्यवसाय, अन्य",9510.9900
ta,காஸ்டிங் லைன் மேற்பார்வையாளர்,3122.4402
ta,ஃபிளேஷர் உணர்வு,7535.1900
hi,"लकड़ी के उपचारक, अन्य",7521.9900
hi,फील्ड इंजीनियर टीवी,7421.1302
hi,"फर्नीचर निर्माता, बांस",7317.0300
ta,"சிவில் பொறியாளர்கள், பிற",2142.9900
en,Patwari,4419.0200
ta,"மதிப்பீட்டாளர், மரம்",6210.1400
hi,जाली दुकान शिफ्ट प्रभारी,3122.4501
en,"Fitter, Loco",7233.2400
en,"Trainer, Animal",2659.1300
ta,சோதனை பொறியாளர்-மென்பொருள்,2512.0202
hi,"महाप्रबंधक, क्वारी",1322.0500
en,Ice Maker,3132.0100
hi,वेफर बेकिंग मशीन ऑपरेटर (बेकिंग),8160.1500
ta,முள் அமைப்பி (ஜவுளி),8151.1600
ta,"பொம்மை தயாரிப்பாளர், மரம்",7522.1400
ta,"ஆபரேட்டர், ஹாட் ரோலிங் ஆலை (இரும்பு அல்லாத உலோகம்)/ஆலை ஆபரேட்டர்",3135.1900
en,Harmonium Maker,7312.0200
en,Floral Designer,3435.0500
hi,"असेंबलर, कपड़ा मशीनरी",8211.0300
en,Cart Driver,9332.0200
ta,மருத்துவ நிபுணர் மற்றும் மேனிகுரிஸ்ட்,5142.0201
en,"Mechanic, Diesel Engine",7233.0400
hi,"घरेलू गृहस्थ, अन्य",5152.9900
ta,தனிப்பட்ட செயலாளர்,4120.0200
en,Sweet Meat Maker,7512.0400
ta,"வெல்ட் கழிவுநீர், இயந்திரம்/இயந்திர ஆபரேட்டர், வெல்ட் தையல்",8156.0900
ta,"ஒரே குச்சர், கை",7536.1500
en,"Supervisor and Foreman, Tanning and Pelt Dressing",3122.3000
ta,சாயம் பூசப்பட்ட நூல் இயக்குபவர் (ஜவுளி),8154.0900
ta,வாடிக்கையாளர் உறவு நிர்வாகி,5244.0103
hi,"जहाजों के डेक रेटिंग, बार्ज क्रू और नाविक, अन्य",8350.9900
en,Export Manager,1219.0101
en,"Supervisor and Foreman, Welding and Flame Cutting",3122.4200
ta,"பல்கலைக்கழகம் மற்றும் கல்லூரி ஆசிரியர், நுண்கலைகள்/பேராசிரியர்கள்/உதவி பேராசிரியர்கள், நுண்கலைகள்",2310.1200
ta,ஒலிபரப்பு பொறியாளர்,3114.1201
hi,मिक्सरमैन,3135.0500
hi,"रसायनज्ञ, जैविक",2113.0200
ta,நிருபர்,4131.0200
hi,टर्मिनल प्रबंधक,1321.0200
ta,"புள்ளியியலாளர், பயன்பாடு",2120.0400
hi,"रत्न ग्राइंडर, हाथ",7313.1300
en,Planner,7313.1202
ta,"இயக்குநர், வங்கி",1120.0700
hi,विभाजन मशीन प्रचालक,7223.2700
hi,वेल पुलर,8113.0500
hi,वनपाल,6210.0100
en,"General Manager, Recreation and Entertainment",1431.0100
hi,होटल द्वारपाल,9621.1200
en,Gemstone Final Shaper and Calibrator,7313.1602
hi,ऋण वसूली एजेंट,4214.0201
hi,बेयर फुट तकनीशियन (बी. एफ. टी.),3142.0201
en,"Panman, Sugar",8160.3800
en,Tram Car Driver,8331.0100
en,Mahout,9332.0300
ta,தளப் பொறியாளர்-கட்டுப்பாட்டு குழு,7412.1002
hi,डायलिसिस तकनीशियन,3212.0201
ta,"துப்புரவாளர்கள் மற்றும் தொடர்புடைய தொழிலாளர்கள், பிற",9613.9900
ta,"மேற்பார்வையாளர் மற்றும் தலைமை மேலாளர், தோல் பொருட்கள் தயாரித்தல்",3122.3300
en,"Scraper Driver, Mines",8111.2600
en,Metal Bluer,7224.1100
hi,कच्चा तेल ट्रेटर (पेट्रोल और गैस),8131.3100
en,Impression Taker,3119.0500
hi,"मैकेनिक, लेखन सामग्री भाप इंजन",7233.1000
ta,விற்பனை மேலாளர்,3322.1301
ta,வர்ணனை எழுத்தாளர்,2642.0400
en,Quality Assurance Engineer – IT Services,2519.0301
ta,"துப்புரவு இயந்திரம், கழிவுநீர் வடிகால்",9613.0500
ta,இசைக்கருவி பழுதுபார்ப்பு,7312.1800
hi,"प्रबंधक, ऑर्चर्ड",1311.1100
ta,"காப்பீட்டு துணை நிர்வாகி, பரிசோதகர், நில அளவையாளர் மற்றும் புலனாய்வாளர்",3321.0200
en,Candle Moulder,7318.0200
hi,खमीर बनाने वाला (पेय),7512.1000
hi,कपड़ा प्रौद्योगिकीविद्,2141.1000
ta,பிரிப்பவர் மனிதர்,7513.0200
hi,"प्रबंधक, बीमा",1346.0200
en,"Domestic Housekeepers, Others",5152.9900
ta,"மேற்பார்வையாளர் மற்றும் தலைமை அதிகாரி, அச்சிடுதல் மற்றும் தொடர்புடைய பணி",3122.6700
ta,சரக்கு மேலாளர்,4321.0103
hi,सुखाने वाली मशीन संचालक,8157.0200
en,Production Planning & Control Engineer,2141.0501
en,"Serang, Deck/Bosun",8350.0100
hi,लेखा क्लर्क/लेखा कार्यकारी (पेरोल),4313.0101
ta,தரை மேலாளர்,3322.1305
en,Counter,9321.1200
hi,कार्मिक प्रबंधक,1212.0100
en,"Cameraman, Photomechanical",7321.1200
hi,अगरबत्ती निर्माता,8131.8800
en,Floriculturist – (Open Cultivation),6113.0601
hi,ब्रेजर,7212.0500
hi,लाइब्रेरियन (फिल्म),2622.0200
ta,தரவு மீட்பு திட்டமிடுபவர்/கணினி நிர்வாகி,3512.0100
hi,दुकान सहायक,5223.0100
ta,கான்கிரீட் பலகை,7114.0100
ta,பயிற்சி பெற்ற சக மாணவர்,5223.0105
hi,लिथोग्राफिक कलाकार,7321.0800
en,Complaint Attending Clerk/Customer Service Desk/Customer Service Executive,4225.0100
hi,उत्पाद डिजाइन प्रबंधक,2144.0801
ta,"விவசாயி, ஃபர் தாங்கும் விலங்குகள்",6129.0100
ta,இயந்திர சோதனையாளர்,7231.0200
ta,ஒலி பொறியாளர்,2153.0500
hi,सिलेंडर बोरर,7223.1800
ta,பல்வரைசர் ஆபரேட்டர்,8112.0200
ta,"சுத்தி தயாரிப்பாளர், இயந்திரம்/சுத்தி இயந்திர இயக்குபவர்",8152.1300
ta,"மெக்கானிக், பழுதுபார்ப்பு தலைவர் (உள்நாட்டு உபகரணங்கள்)",7233.2000
hi,क्रिस्टलीकरण परिचर,8131.6800
ta,"பிளானர், எட்ஜ்",7223.1000
ta,தொழில்சார் சிகிச்சையாளர்,2264.0200
en,Designer (CAD),2166.0401
en,Sampling Co-Ordinator,7543.5001
hi,"सर्वेयर, मेरा",2165.0500
ta,"பாரம்பரிய மருத்துவ பயிற்சியாளர்கள், பிற",2230.9900
hi,उपकरण अभियंता/उपकरण अभियंता,2141.0200
hi,डिजिटल विपणन/सोशल मीडिया प्रबंधक,2432.0201
hi,बीज प्रसंस्करण कार्यकर्ता,6130.0202
ta,"கல் ஆடை, கை",7113.0300
ta,"சருமம், தோல்கள் மற்றும் தோல்",7535.0100
ta,மாதிரி தையல்காரர்,7531.0101
en,Heel Padding Machine Operator,8156.2400
en,Daftry,4419.0600
en,Senior Functioner (Telephone Equipment Manufacturing),7419.0100
hi,फिनिशर (हार्मोनियम),7312.0800
en,Final Testing Technician,3113.0802
en,Dye Automation Operator (Textile)/ Dyeing Machine Operator,8154.1100
hi,"टिंडल, इंजन कक्ष",8182.0600
hi,हेड कुक/हेड शेफ,3434.0100
ta,பொம்மலாட்டக்காரர்,2659.1200
en,"Sole Stitcher, Machine",8156.1500
hi,"खिलौना निर्माता, लकड़ी",7522.1400
en,"General Manager, Gas",1321.0800
ta,"தனிப்பட்ட மற்றும் தொழில்முறை வல்லுநர்கள், பிற",2423.9900
ta,பொது முகவரி உபகரண ஆபரேட்டர்,3521.1000
ta,செக்கர் (பீங்கான்),7314.1200
en,"Oil Crusher Operator, Power",8160.1200
en,Manager Heat Treatment/Metallurgist,2146.0501
ta,விமான உதவியாளர்கள் மற்றும் பயணக் கண்காணிப்பாளர்கள்,4221.0200
ta,குழாய் அடுக்கு/பிளம்பர் குழாய்,7126.0201
hi,असेंबली ऑपरेटर-पीएमडी और एक्स-रे,8212.2201
hi,एसोसिएट-एच. आर. ओ.,4416.0101
ta,பிளம்பிங் வரைவாளன்,3118.0201
en,"Physiologist, Medical",2212.1900
en,Hand Dyer,7318.0600
hi,किनारे बर्निशर,8156.2300
ta,"பொது மேலாளர், வேளாண் பண்ணை",1311.0300
ta,"மரச்சாமான்கள் தயாரிப்பாளர், மரம்",7522.0100
hi,खाद्य पदार्थ फ्रीजर,8160.3000
ta,கள தொழில்நுட்ப வல்லுநர்ஃ பிற வீட்டு உபகரணங்கள்,7421.0701
en,Orthopaedist,2212.1400
hi,सहायक-फिनिशिंग (जूते),8156.2603
hi,नूडल प्रेस ऑपरेटर,8160.2000
en,Miller,8154.1900
hi,लोको फोरमैन,3115.1400
en,Modeller,2166.0202
en,Geophysicist,2114.0400
en,"Senior Secondary and Secondary School Teacher, Commerce",2330.0300
en,Headlight Keeper,3341.0700
ta,வலை உருவாக்குநர்,2513.0101
en,Field Technician: Refrigerator,7421.0501
en,Telecom Terminal Equipment Application (Native Applications),2153.0102
hi,"सेरांग, इंजन कक्ष/इंजन बोसुन",8182.0500
ta,"உருளை, சூடான உருளை ஆலை (இரும்பு அல்லாத உலோகம்)/ஆலை ஆபரேட்டர்",3135.2000
hi,दूध देने वाली मशीन,6121.0800
ta,சிஎன்சி ஆபரேட்டர்-திருப்புதல்,7223.6002
hi,कार्यालय सहायक,3341.1000
en,Medical Equipment Technician,3211.0501
hi,रखरखाव कार्यकारी,3113.0501
en,Stock Verifier,4321.0301
en,Cementer (Plastic),8142.1500
hi,स्थल सर्वेक्षणकर्ता/आर. एफ. स्थल सर्वेक्षणकर्ता,7422.1801
en,"Weaving and Knitting Machine Operators, Other",8152.9900
en,"Assembler, Sewing Machine",8219.0200
ta,"டெம்பர், உலோகம்",8121.4900
hi,उपकरण डिजाइनर,3115.1301
hi,"रासायनिक अभियांत्रिकी तकनीशियन, अन्य/रासायनिक प्रक्रिया तकनीशियन",3116.9900
ta,"பொது மேலாளர், பொழுதுபோக்கு மற்றும் பொழுதுபோக்கு",1431.0100
en,Regional Parts Manager,3322.0701
hi,जूस हीटर सहायक,8160.4800
hi,वाशिंग प्लांट ऑपरेटर,8112.0600
ta,"டெரிக் கிரேன் ஆபரேட்டர், காந்தவியல்",8343.0900
ta,வெப்ப சிகிச்சை உலை ஆபரேட்டர்,8121.3701
ta,அளவு கலவை (ஜவுளி),8151.1900
en,Traffic Planner,2164.0200
en,Carbonation Man,8160.4900
ta,தையல் ஆபரேட்டர் (காலணிகள்),8156.0901
ta,மஸ்தூர்/உதவியாளர்,9311.0101
hi,"चित्रकार, हस्ताक्षर और पत्र",7132.0400
ta,தேடுபவர்,3351.0300
en,Continuous Curing Operator,8141.0711
ta,விற்பனை நிர்வாகி (பிராட்பேண்ட்),5243.0502
en,Sales Executive (Media Org),2431.0651
ta,"கால்கர், படகு கட்டிடம்",7115.1300
hi,"विक्रेता, थोक व्यापार",5249.0200
ta,"அரிவாள் ஆடை, மைக்கா",7542.0400
en,Sheet Metal Machine Operator,7223.2400
ta,ஆட்டோமொபைல் பாடி பெயிண்டிங் டெக்னீஷியன்,7132.0204
hi,ब्रांड प्रबंधक,3339.0200
ta,சாண்டர் ஆபரேட்டர்,7523.1800
en,Rubber Nursery Worker – Budder,6112.0801
en,Cooker (Silkworm),7318.1900
hi,संपीड़न मोल्डिंग मशीन ऑपरेटर (प्लास्टिक),8142.0600
hi,"बीमा सहायक, परीक्षक, सर्वेक्षणकर्ता और अन्वेषक",3321.0200
ta,"முன்பதிவு எழுத்தர், போக்குவரத்து/முன்பதிவு உதவியாளர்",4221.0300
en,"Furniture Maker, Reed",7317.0400
ta,"மோல்டர், ரப்பர் குழாய்",8141.2200
ta,மன அழுத்தம் ஆய்வாளர்/கணினி உதவி பெறும் சோதனை நிர்வாகி,2152.0301
en,Registrar,2619.0300
en,Energy Auditor,3113.0300
ta,"ஜோதிடர்கள், அதிர்ஷ்டம் கூறுபவர்கள் மற்றும் தொடர்புடைய தொழிலாளர்கள், பிற",5161.9900
en,Mine Cutting and Channelling Machine Operator,8111.1400
ta,ஹார்மோனியம் தயாரிப்பாளர்,7312.0200
en,Casting Line Supervisor,3122.4402
ta,"ரப்பர் மற்றும் ரப்பர் செய்யப்பட்ட தயாரிப்பு தயாரிப்பாளர்கள், பிற",8141.9900
en,Extra,2655.0200
en,Police Constable,5412.0100
en,"Manager, Process Engineering",2144.0105
en,"Insulator, Refrigeration and AirConditioning Equipment",7124.0400
ta,"தொழில்நுட்ப வல்லுநர், பிளாஸ்டிக்",2145.1400
hi,फील्ड तकनीशियनः रेफ्रिजरेटर,7421.0501
ta,"தரவு உள்ளீடு எழுத்தர்கள், பிற",4132.9900
en,Demographer,2632.0400
ta,வடிவமைப்பு பொறியாளர்,2152.0501
ta,துண்டு (தோல் பொருட்கள் மற்றும் ஆடைகள்),8153.0102
en,Electrotyper,7321.0700
en,Accounts Executive (Accounts Payable & Receivable),4311.0401
ta,பம்ப் மேன் (பெட்ரோலியம் சுத்திகரிப்பு),3134.0300
en,Blue Printer,3118.0900
en,"Moulder, Vertical Pipe",7211.0300
ta,வீட்டுப்பணியாளர் (உள்நாட்டு),5152.0100
hi,डिजाइनर (परिधान),7532.0100
hi,सुखाने वाले कक्ष के परिचारक (दवाएं)/कक्ष संचालक,8131.1400
hi,"भट्टे का आदमी, ईंट और टाइल",8181.1700
en,"Carpenter Worker, Boat Building",7115.1100
hi,"पैटर्न निर्माता, फर",7531.1300
en,"General Manager, Plantation",1311.0100
ta,"தணிக்கை, எழுத்தர்",4311.0500
hi,"डी-गमर, रेशम",8154.0600
hi,डेयरी वैज्ञानिक,2132.0700
hi,अल्गोलॉजिस्ट,2131.0800
en,Greenhouse Fitter,6113.0501
hi,"स्थिर इंजन चालक, आंतरिक दहन",3131.0200
ta,மெழுகு துண்டு தயாரிப்பாளர்,7313.2402
hi,लेखाकार,2411.0100
ta,"நிரப்பு, காற்றோட்டமான நீர்",8160.8300
hi,शंकु संचालक (खदान और उत्खनन),8112.1200
hi,"लाइनमैन, लाइट एंड पावर",7413.0100
ta,மருத்துவச்சி,3222.0100
hi,इन्वेंट्री मैनेजर (थोक),4322.0101
hi,"कचरा संग्रहकर्ता, अन्य",9611.9900
hi,"बिक्री और विपणन प्रबंधक, अन्य",1221.9900
en,Draftsman,3118.0301
hi,औद्योगिक इंजीनियर,2141.0300
ta,"கம்பி தயாரிப்பாளர், தங்கம் மற்றும் வெள்ளி/பாகங்கள் தயாரிப்பாளர்",7313.0201
hi,"गश्ती दल, महिलाएं",3353.0200
hi,ध्वनि डिजाइनर,2153.0511
en,Psychiatrist,2211.0500
en,Doubling Machine Operator (Textile),8151.0400
hi,अग्निशामक,5411.0100
en,Machine Shop Master Technician/Setter,7223.0501
hi,बॉडी शॉप प्रभारी,3115.0104
ta,"லூபர்மேன், ஹோசியரி",8152.1000
ta,உராய்வு இயந்திர இயக்குபவர் (பொருத்தம்),8131.4400
ta,சிராய்ப்பு சக்கரக் கல்,7314.0800
ta,வென்ட்ரிலோக்விஸ்ட்,2659.0600
en,Process Validation Executive,2144.0104
ta,சிஎன்சி செட்டர்-கம்-ஆபரேட்டர்-செங்குத்து இயந்திர மையம்,7223.5005
en,Maintenance Mechanic,7422.0200
en,Groundwater Engineer,2142.1001
hi,हृदय देखभाल तकनीशियन,3211.0801
hi,मूंगफली ब्लैंचर,8160.3100
ta,"பம்ப் ஸ்டேஷன் ஆபரேட்டர், வாட்டர்வொர்க்ஸ்",3132.0600
en,Public Address Equipment Operator,3521.1000
hi,ध्वनि अभियंता,2153.0500
ta,அரைப்பவர்-கை-தோள் மற்றும் மின் கருவிகள்,7224.0401
en,Product Design Manager,2144.0801
ta,"தரவரிசை, கயிறு",7318.1300
hi,ग्राहक देखभाल कार्यकारी (कॉल सेंटर),5244.0303
en,"Metal Finishing, Plating and Coating Machine Operators, Other",8122.9900
hi,जिगरमैन (सूती वस्त्र)/जिगर मशीन संचालक,8154.1000
en,Umbrella Maker,7533.0800
ta,தட்டு வெட்டும் கருவி,6210.0900
ta,கதிரியக்க நிபுணர்,2212.0600
hi,व्यावसायिक स्वास्थ्य और सुरक्षा विशेषज्ञ,2141.2600
en,Roller Coverer,8151.1700
ta,மேட் ஷியரிங் ஆபரேட்டர்,8152.0500
ta,பிடுமென் கலவை இயந்திர இயக்குபவர்,8342.1800
ta,காகித தொட்டி/வால்பேப்பர் ஃபிக்சர்/டெக்கரேட்டர்,7131.0500
en,Manager Testing Facility,1223.0101
hi,"दूरसंचार इंजीनियर, अन्य",2153.9900
ta,"வாழ்க்கை அறிவியல் தொழில்நுட்ப வல்லுநர்கள் (மருத்துவம் தவிர), பிற",3141.9900
en,"Chairman, Administrative Tribunal",2612.0800
en,"Router, Wood",7523.0500
en,Electronic Engineer,2152.0200
hi,इंजेक्शन मोल्डिंग मशीन ऑपरेटर (प्लास्टिक),8142.0501
ta,"பிசியோதெரபிஸ்டுகள் மற்றும் தொடர்புடைய இணை தொழில் வல்லுநர்கள், பிற",2264.9900
ta,முறை ஆய்வு நிர்வாகி,3115.0401
en,"Reacher, Hand (Textile)",7318.5300
ta,நடன இயக்குனர்,2653.0100
hi,रिसेप्शन क्लर्क/फ्रंट डेस्क एग्जीक्यूटिव/रिसेप्शनिस्ट,4226.0100
hi,पैकेजिंग इंजीनियर,2141.0400
ta,பதிவு இயக்கி,6210.1600
hi,परीक्षण और सत्यापन अभियंता,2152.0902
ta,எலும்பியல் நிபுணர் மற்றும் புரோஸ்தேட்டிஸ்ட்,2269.0500
hi,वहन रखरखाव,7233.0301
en,"Working Proprietor, Mines/Proprietor, Mines",1120.0900
ta,"பல்கலைக்கழகம் மற்றும் கல்லூரி ஆசிரியர், கால்நடை அறிவியல்/பேராசிரியர்கள்/உதவி பேராசிரியர்கள், கால்நடை அறிவியல்",2310.1000
hi,दिवाला पंजीयक,2619.0600
hi,डी. टी. एच. सेट-टॉप बॉक्स इंस्टॉलर और सेवा तकनीशियन,7422.1202
en,"Director, Water Supply",1120.0600
ta,தரமான பொறியாளர்,2152.0601
ta,செயல்முறை சரிபார்ப்பு நிர்வாகி,2144.0104
ta,"உணவு மற்றும் பான சுவைகள் மற்றும் தரப்படுத்துபவர்கள், பிற",7515.9900
hi,"चालक, रेलवे इंजन (डीजल)",8311.0300
ta,ஆவியாக்கி இயக்குபவர்,8131.3600
ta,செயல்முறை முயற்சி-அவுட் பொறியாளர்,2144.0102
hi,एयर होस्टेस,5111.0300
hi,"प्राचार्य, महाविद्यालय",1120.3900
hi,ड्रिलिंग ऑपरेटर,8212.2502
en,Carpet Embosser,7318.6100
en,Diamond Driller,8111.0400
en,Wood Bender,7521.0300
hi,"पत्थर के टुकड़े, कटर और नक्काशीदार, अन्य",7113.9900
en,Regional Service Marketing Manager,2431.0101
en,Butler,5131.0100
en,"Runner, Mail",9621.0800
ta,"வெல்டர்கள் மற்றும் ஃப்ளேம் கட்டர்கள், பிற",7212.9900
en,"Third Officer, Ship",3152.0400
hi,"भट्टी लोडर, ईंट और टाइल",8181.1800
ta,"தொலைபேசி ஆபரேட்டர், உள்ளூர்",4223.0200
hi,"रसायनशास्त्री, अकार्बनिक",2113.0300
hi,सिरप संयंत्र संचालक,8160.7600
ta,"அழகுக் கலைஞர்கள் மற்றும் தொடர்புடைய தொழிலாளர்கள், பிறர்",5142.9900
ta,"தாள் உலோகத் தொழிலாளி, பொது/தாள் உலோகத் தொழிலாளி-கை கருவிகள் மற்றும் கையால் இயக்கப்படும் இயந்திரங்கள்",7213.0101
ta,"மேற்பார்வையாளர் மற்றும் ஃபோர்மேன், ஷூமேக்கிங்",3122.3100
ta,டை நகல் இயந்திர ஆபரேட்டர்/டை மூழ்கும் மின்சார வெளியேற்ற இயந்திர ஆபரேட்டர்,7223.2800
ta,ஸ்கிரிப்ட் ஆராய்ச்சியாளர்,2641.0602
ta,எளிய அட்டவணை,3112.0300
ta,மசூதி செய்பவர்,2264.0400
hi,ऑटो सेवा तकनीशियन-मैकेनिक,7231.0107
en,Case Finisher (Leather Product),7532.0300
ta,தோல் நீச்சல்,7541.0700
en,"Sales Representative, Technical",3322.0101
hi,कंट्रोल मैन (पेट्रोलियम शोधन),3134.0400
en,Wafer Baking Machine Operator (Baking),8160.1500
hi,"सामान्य चिकित्सक, एलोपैथिक, अन्य",2211.9900
en,Locomotive Driver,8311.0601
hi,मक्के की खेती करने वाला,6111.0301
ta,உடல் பாதுகாப்பு பயிற்சியாளர்,2320.0102
en,Wheel Grinder (Glass),7315.1600
hi,"अंडरटेकर और एम्बालर्स, अन्य",5163.9900
en,"Tailors, Dressmakers, Furriers and Hatters, Other",7531.9900
en,X-Ray Mechanic,7422.1000
en,"Strainer, Liquid",8131.2500
ta,கள விற்பனை நிர்வாகி (எஃப். எஸ். இ),5243.0501
hi,लाक ट्रेटर,6210.2000
hi,मुद्राशास्त्री,2633.0400
hi,वाहक परिचर (टेलीफोन) और टेलीग्राफ,7422.0700
ta,"மேலாளர், கட்டுமானம்/மேலாளர் கட்டுமானத் திட்டங்கள்",1323.0100
hi,कालीन उभरा हुआ,7318.6100
en,"Pilot, General",3153.0300
ta,டயமண்ட் டிரில்லர்,8111.0400
hi,फ़ेटलर (ऊनी वस्त्र),8151.2200
hi,सी. एन. सी. प्रचालक-मशीनिंग तकनीशियन,7223.5002
en,Bill Collector,4214.0100
en,Borer/Operator Boring Machine Operator,7223.1701
hi,कारखाना अनुपालन लेखा परीक्षक,7543.4001
en,Air Conditioning and Refrigeration Plant Attendant,3132.0900
ta,"தர ஆய்வாளர்-போலியான, வார்ப்புப் பொருட்கள் அல்லது இயந்திர பாகங்கள்",7543.2001
hi,बिक्री एजेंट,5249.0600
hi,"सर्वेक्षक, स्थलाकृतिक",2165.0200
en,Territory Sales Manager,3322.1001
ta,சேகரிப்புகளின் நிர்வாகி,5244.0203
hi,लेंस ग्राइंडर,7315.1200
en,Installation (Computing and Peripherals),7422.2002
ta,"தீயணைப்பு ஆய்வாளர்கள், பிற",3119.1000
ta,"வாட் மேன், கையால் செய்யப்பட்ட காகிதம்",8171.1800
hi,मिट्टी पर्यवेक्षक,3121.0600
